Subject,Session,Round,Word,Bet,RT
1,1,1,apple,1,1.118756623826357
1,1,1,bus,1,1.1187720184216232
1,1,1,music,4,1.016896624689707
1,1,1,girl,1,0.6103078586993433
1,1,1,luck,4,1.2205541390176222
1,1,1,owl,1,1.016945827022937
1,1,1,smile,0,0.915373193663072
1,1,1,wash,10,1.5255747994706326
1,1,1,bag,3,0.8136155233059981
1,1,1,crab,2,1.0169476381520326
1,1,1,drink,4,0.813899568679517
1,1,1,frog,5,0.9153236894744623
1,1,2,stick,10,1.017044231690761
1,1,2,bowl,10,1.5254652261755837
1,1,2,mud,4,0.9154045865629996
1,1,2,pool,10,1.9323588655211097
1,1,2,door,5,1.9321813748942986
1,1,2,snake,10,1.3222659274442776
1,1,2,green,10,1.5254244757766173
1,1,2,bird,10,1.3220159916641023
1,1,2,club,0,0.813513194526422
1,1,2,tent,0,0.8136137121769025
1,1,2,skate,0,0.9153399896345036
1,1,2,oven,0,0.9153961346282813
1,1,3,uncle,10,1.4240000531262922
1,1,3,petal,10,1.4231032424941077
1,1,3,dad,10,1.5244452587812702
1,1,3,skull,0,1.1190364432327442
1,1,3,straw,10,1.4238787074941683
1,1,3,cheek,10,1.9324086715641897
1,1,3,tool,10,3.1526881227077865
1,1,3,park,0,0.813675290557967
1,1,3,egg,10,1.1186446356928172
1,1,3,home,10,1.4234983704363913
1,1,3,lion,10,1.322214310272102
1,1,3,juice,10,1.3222218566425
1,1,4,honey,10,1.525537973183873
1,1,4,plate,10,1.4232620181228413
1,1,4,mouse,10,1.62721565201673
1,1,4,grill,9,0.6103685315156326
1,1,4,fork,9,0.813556057909409
1,1,4,aunt,10,1.4238624073345818
1,1,4,knee,1,2.2373713758934173
1,1,4,metal,8,2.0341412879720338
1,1,4,snow,10,1.3215970171913796
1,1,4,fence,10,1.2205091626519788
1,1,4,movie,10,1.3219821839256838
1,1,4,rifle,0,1.0169723902463375
1,1,5,goat,2,1.2204744493487851
1,1,5,nose,2,0.8137377745033518
1,1,5,hen,0,0.813521042751745
1,1,5,city,0,0.813533116943745
1,1,5,fairy,0,0.8137115131348764
1,1,5,frost,0,0.9158489168394226
1,1,5,lady,0,0.8135823192769749
1,1,5,kick,0,0.9157728494278672
1,1,5,seat,0,0.8135669246821635
1,1,5,cream,0,0.8135602838765408
1,1,5,gas,0,0.8138784388434033
1,1,5,rain,0,0.8136897795884579
1,1,1,apple,10,0.7458907750451544
1,1,1,bus,10,0.7459351477018572
1,1,1,music,10,0.610319631036873
1,1,1,girl,10,0.745840063437754
1,1,1,luck,10,0.7458847379493818
1,1,1,owl,10,0.7464132857166987
1,1,1,smile,10,0.8808579075848684
1,1,1,wash,10,0.7459985372115625
1,1,1,bag,10,0.6779945732541819
1,1,1,crab,10,0.6782146254086001
1,1,1,drink,10,0.746104488248875
1,1,1,frog,10,0.6779230336646833
1,1,2,stick,10,3.1866009065906837
1,1,2,bowl,10,0.8136683478974192
1,1,2,mud,10,0.6787821124462425
1,1,2,pool,10,0.8135949971792797
1,1,2,door,10,0.7457953889265809
1,1,2,snake,10,0.6779302781806109
1,1,2,green,10,0.6781968159752978
1,1,2,bird,10,0.6102393376581858
1,1,2,club,10,0.7460637378499086
1,1,2,tent,10,0.8135536430704633
1,1,2,skate,10,0.6779040168121355
1,1,2,oven,10,0.8134633884828872
1,1,3,uncle,10,0.7459013399638934
1,1,3,petal,10,0.6780588683282076
1,1,3,dad,10,0.7458796064174749
1,1,3,skull,0,0.7458832286752113
1,1,3,straw,0,0.6103422701471573
1,1,3,cheek,0,0.47474758146381646
1,1,3,tool,0,0.5425731492300656
1,1,3,park,0,0.47490937564043634
1,1,3,egg,0,0.47465943986026105
1,1,3,home,0,0.4744574989940702
1,1,3,lion,0,0.4747647871877234
1,1,3,juice,0,0.47483451564858115
